file,protocol,load_nominal_Nm,rpm_nominal,win_kind,win_start_s,rpm,rpm_level,f1_Hz,fr_Hz,slip_pct,R1x,R2x,axial_1x,axial_ratio,dom_radial,onex_snr_dB,cur_sb_1x_snr,unbalance_pct,f1_on_res,fr_on_res,on_resonance,sep_Hz,sep_bins,f1_in_1x,f1_near_1x,f1_in_2x,slip_suspect,low_speed_em,vib_f1_line,em_over_1x,fr_on_axial_res,r1x_over_health,vib_1x_c2,vib_2x_c2,vib_3x_c2,vib_1x_c3,vib_2x_c3,vib_3x_c3,vib_1x_c4,vib_2x_c4,vib_3x_c4
Rotor_unbalance_speed_circulation_20Nm_1000rpm_250706100039.csv,speed,20,1000,plateau,9.8,988.6,1000,16.734,16.477,1.536,0.00023,3.5e-05,0.001886,8.194,c2,38.0,29.3,0.77,False,False,False,0.257,4.6,False,True,False,False,False,1.5e-05,0.06,True,1.32,0.000181,2.6e-05,4e-06,0.000142,2.4e-05,1.6e-05,0.001886,9e-06,2e-06
Rotor_unbalance_speed_circulation_20Nm_2000rpm_250706100456.csv,speed,20,2000,plateau,10.5,1979.5,2000,33.388,32.992,1.188,0.001071,0.000391,0.000505,0.472,c3,52.8,38.5,0.76,False,False,False,0.397,7.1,False,True,False,False,False,0.000139,0.13,False,1.35,0.000371,0.000357,1.4e-05,0.001004,0.000162,5e-06,0.000505,6.5e-05,9e-06
Rotor_unbalance_speed_circulation_20Nm_3000rpm_250706100911.csv,speed,20,3000,plateau,35.5,2479.1,2500,41.837,41.318,1.239,0.001414,0.000924,0.001009,0.714,c2,55.5,41.1,0.76,False,False,False,0.518,9.3,False,False,False,False,False,9e-06,0.01,False,1.89,0.001339,9.1e-05,1.3e-05,0.000457,0.000919,0.000133,0.001009,0.000183,1.1e-05
Rotor_unbalance_speed_circulation_40Nm_1000rpm_250706100252.csv,speed,40,1000,plateau,60.0,969.7,1000,16.734,16.161,3.42,0.000227,3.1e-05,0.002362,10.393,c2,37.1,25.5,0.79,False,False,False,0.572,10.3,False,False,False,False,False,4e-06,0.02,True,1.3,0.000186,2.3e-05,4e-06,0.000131,2.1e-05,9e-06,0.002362,1e-05,5e-06
Rotor_unbalance_speed_circulation_40Nm_2000rpm_250706100657.csv,speed,40,2000,plateau,10.6,1947.0,2000,33.39,32.45,2.814,0.001163,0.000535,0.000536,0.461,c3,52.8,36.3,0.75,False,False,False,0.94,16.9,False,False,False,False,False,0.000153,0.13,False,1.47,0.000334,0.000502,1.8e-05,0.001114,0.000187,1.1e-05,0.000536,0.000109,1.5e-05
Rotor_unbalance_speed_circulation_40Nm_3000rpm_250706101114.csv,speed,40,3000,plateau,35.2,2443.1,2500,41.837,40.719,2.673,0.001427,0.000839,0.001005,0.704,c2,55.7,39.2,0.72,False,False,False,1.118,20.1,False,False,False,False,False,1e-05,0.01,False,1.91,0.001314,7.1e-05,1.9e-05,0.000559,0.000836,5.7e-05,0.001005,0.000194,5e-06
Rotor_unbalance_torque_circulation_20Nm_1000rpm_250706094752.csv,torque,20,1000,load_seg,1.0,1002.6,1000,16.741,16.71,0.184,0.000263,0.000169,0.001498,5.691,c3,35.4,18.4,0.86,False,False,False,0.031,0.2,True,False,True,False,False,0.000197,0.75,True,,0.000174,9.4e-05,1.3e-05,0.000197,0.00014,6.4e-05,0.001498,8e-05,6e-06
Rotor_unbalance_torque_circulation_20Nm_2000rpm_250706094955.csv,torque,20,2000,load_seg,77.0,1977.5,2000,33.384,32.958,1.275,0.001065,0.000396,0.000512,0.48,c3,48.6,37.4,0.74,False,False,False,0.426,3.4,False,True,False,False,False,0.000589,0.55,False,1.27,0.000392,0.000359,2.3e-05,0.00099,0.000169,7e-06,0.000512,6.1e-05,1.4e-05
Rotor_unbalance_torque_circulation_20Nm_3000rpm_250706095156.csv,torque,20,3000,load_seg,9.0,2969.6,3000,50.128,49.493,1.266,0.01419,0.000331,0.001014,0.071,c3,71.0,37.9,0.77,True,True,True,0.635,5.1,False,True,False,False,False,0.001252,0.09,False,2.81,0.003075,5.4e-05,0.000134,0.013853,0.000326,0.00011,0.001014,0.000109,3.8e-05
Rotor_unbalance_torque_circulation_40Nm_1000rpm_250706095410.csv,torque,40,1000,load_seg,79.0,981.2,1000,16.729,16.353,2.242,0.000248,3.6e-05,0.002239,9.046,c2,32.1,22.5,0.77,False,False,False,0.375,3.0,False,True,False,False,False,9.8e-05,0.4,True,1.46,0.0002,2.2e-05,5e-06,0.000146,2.9e-05,2.1e-05,0.002239,9e-06,7e-06
Rotor_unbalance_torque_circulation_40Nm_2000rpm_250706095616.csv,torque,40,2000,load_seg,58.0,1943.6,2000,33.387,32.393,2.977,0.001152,0.000547,0.000538,0.467,c3,50.2,31.4,0.75,False,False,False,0.994,8.0,False,True,False,False,False,0.000141,0.12,False,1.38,0.000338,0.00051,1.5e-05,0.001102,0.000198,1.1e-05,0.000538,0.000111,1.3e-05
Rotor_unbalance_torque_circulation_40Nm_3000rpm_250706095821.csv,torque,40,3000,load_seg,32.5,2940.4,3000,50.125,49.006,2.231,0.014357,0.00035,0.000929,0.065,c3,71.3,34.3,0.69,True,True,True,1.118,8.9,False,False,False,False,False,0.00048,0.03,False,2.84,0.003075,0.000197,2.5e-05,0.014024,0.000289,4.9e-05,0.000929,0.000126,3.2e-05
